date,temp,co2_noaa,year,co2,co2_growth_prct,methane,nitrous_oxide,energy_per_capita,co2_growth,methane_growth,co2_ma12,temp_ma12,days_since_start
1965-12-01,-0.08,319.42,1965,11310.603,4.491,5343.486,1493.052,13003.41,0.0017248408442311902,0.0,320.0366666666667,-0.10666666666666667,334
1966-01-01,-0.19,320.62,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.0037568092167052924,0.03782418443690139,320.135,-0.11583333333333333,365
1966-02-01,-0.04,321.6,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.0030565778803568477,0.0,320.2316666666666,-0.105,396
1966-03-01,0.04,322.39,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.002456467661691386,0.0,320.3566666666667,-0.09083333333333332,424
1966-04-01,-0.13,323.7,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.004063401470268957,0.0,320.4866666666667,-0.08583333333333333,455
1966-05-01,-0.12,324.08,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.0011739264751313705,0.0,320.6458333333333,-0.08583333333333333,485
1966-06-01,0.01,323.75,1966,11862.625,4.881,5545.599,1556.812,13434.752,-0.001018267094544556,0.0,320.8025,-0.07833333333333334,516
1966-07-01,0.08,322.37,1966,11862.625,4.881,5545.599,1556.812,13434.752,-0.004262548262548238,0.0,320.89916666666664,-0.06083333333333333,546
1966-08-01,-0.09,320.36,1966,11862.625,4.881,5545.599,1556.812,13434.752,-0.006235071501690559,0.0,321.02333333333337,-0.065,577
1966-09-01,-0.03,318.64,1966,11862.625,4.881,5545.599,1556.812,13434.752,-0.005368959920090011,0.0,321.09166666666664,-0.055,608
1966-10-01,-0.17,318.1,1966,11862.625,4.881,5545.599,1556.812,13434.752,-0.0016947024855635817,0.0,321.15833333333336,-0.065,638
1966-11-01,0.0,319.78,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.005281358063501829,0.0,321.2341666666667,-0.06,669
1966-12-01,-0.02,321.02,1966,11862.625,4.881,5545.599,1556.812,13434.752,0.0038776658953030285,0.0,321.3675,-0.055,699
1967-01-01,-0.07,322.33,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.004080742632857737,0.011285886339780449,321.51,-0.045000000000000005,730
1967-02-01,-0.2,322.5,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.0005274097974126146,0.0,321.585,-0.05833333333333333,761
1967-03-01,0.05,323.03,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.0016434108527130231,0.0,321.6383333333333,-0.0575,789
1967-04-01,-0.05,324.41,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.004272049035693337,0.0,321.6975,-0.05083333333333334,820
1967-05-01,0.12,325.0,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.0018186862303875007,0.0,321.77416666666664,-0.030833333333333338,850
1967-06-01,-0.08,324.09,1967,12237.371,3.159,5608.186,1613.397,13649.56,-0.0028000000000000247,0.0,321.8025,-0.03833333333333334,881
1967-07-01,0.02,322.54,1967,12237.371,3.159,5608.186,1613.397,13649.56,-0.004782622111141777,0.0,321.81666666666666,-0.043333333333333335,911
1967-08-01,0.01,320.92,1967,12237.371,3.159,5608.186,1613.397,13649.56,-0.005022632851739317,0.0,321.86333333333334,-0.035,942
1967-09-01,-0.06,319.25,1967,12237.371,3.159,5608.186,1613.397,13649.56,-0.005203789106319356,0.0,321.9141666666667,-0.0375,973
1967-10-01,0.09,319.39,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.00043852779953001964,0.0,322.02166666666665,-0.015833333333333338,1003
1967-11-01,-0.05,320.73,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.004195497667428549,0.0,322.10083333333336,-0.020000000000000004,1034
1967-12-01,-0.05,321.96,1967,12237.371,3.159,5608.186,1613.397,13649.56,0.003835001403049265,0.0,322.1791666666667,-0.022500000000000006,1064
1968-01-01,-0.26,322.57,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.0018946452975525663,0.01677957899399196,322.1991666666667,-0.03833333333333334,1095
1968-02-01,-0.14,323.15,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.0017980593359581132,0.0,322.25333333333333,-0.03333333333333334,1126
1968-03-01,0.2,323.89,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.0022899582237352334,0.0,322.325,-0.02083333333333334,1155
1968-04-01,-0.05,325.02,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.0034888388032974227,0.0,322.37583333333333,-0.02083333333333334,1186
1968-05-01,-0.14,325.57,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.001692203556704186,0.0,322.42333333333335,-0.0425,1216
1968-06-01,-0.09,325.36,1968,12905.273,5.458,5702.289,1665.257,14173.228,-0.0006450225757901329,0.0,322.52916666666664,-0.043333333333333335,1247
1968-07-01,-0.13,324.14,1968,12905.273,5.458,5702.289,1665.257,14173.228,-0.003749692648143732,0.0,322.66249999999997,-0.05583333333333334,1277
1968-08-01,-0.09,322.11,1968,12905.273,5.458,5702.289,1665.257,14173.228,-0.006262725982600026,0.0,322.76166666666666,-0.06416666666666666,1308
1968-09-01,-0.19,320.33,1968,12905.273,5.458,5702.289,1665.257,14173.228,-0.005526062525224362,0.0,322.85166666666663,-0.075,1339
1968-10-01,0.09,320.25,1968,12905.273,5.458,5702.289,1665.257,14173.228,-0.00024974245309516974,0.0,322.92333333333335,-0.07500000000000001,1369
1968-11-01,-0.05,321.32,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.003341139734582388,0.0,322.9725,-0.075,1400
1968-12-01,-0.14,322.89,1968,12905.273,5.458,5702.289,1665.257,14173.228,0.0048860948587077235,0.0,323.05,-0.0825,1430
